"ID","DCE1.mono","DCE2.mono","DCE3.mono","duration","DCE1.4","DCE1.5","DCE1.6","DCE1.7","DCE1.8","DCE1.9","DCE1.10","DCE1.11","DCE1.12","DCE1.13","DCE1.14","DCE1.15","DCE1.16","DCE1.17","DCE1.18","DCE1.19","DCE1.20","DCE1.21","DCE1.22","DCE1.23","DCE1.24","DCE1.25","DCE1.26","DCE1.27","DCE2.4","DCE2.5","DCE2.6","DCE2.7","DCE2.8","DCE2.9","DCE2.10","DCE2.11","DCE2.12","DCE2.13","DCE2.14","DCE2.15","DCE2.16","DCE2.17","DCE2.18","DCE2.19","DCE2.20","DCE2.21","DCE2.22","DCE2.23","DCE2.24","DCE2.25","DCE2.26","DCE2.27","DCE3.4","DCE3.5","DCE3.6","DCE3.7","DCE3.8","DCE3.9","DCE3.10","DCE3.11","DCE3.12","DCE3.13","DCE3.14","DCE3.15","DCE3.16","DCE3.17","DCE3.18","DCE3.19","DCE3.20","DCE3.21","DCE3.22","DCE3.23","DCE3.24","DCE3.25","DCE3.26","DCE3.27","risk1_1","risk1_2","risk1_3","risk1_4","risk1_5","risk1_6","risk1_7","risk1_8","risk1_9","risk1_10","risk1_11","risk1_12","loss1_1","loss1_2","loss1_3","loss1_4","loss1_5","loss1_6","loss1_7","loss1_8","loss1_9","loss1_10","loss1_11","loss1_12","risk2_1","risk2_2","risk2_3","risk2_4","risk2_5","risk2_6","risk2_7","risk2_8","risk2_9","risk2_10","risk2_11","risk2_12","loss2_1","loss2_2","loss2_3","loss2_4","loss2_5","loss2_6","loss2_7","loss2_8","loss2_9","loss2_10","loss2_11","loss2_12","breq3_id1","breq3_id2","breq3_id3","breq3_id4","breq3_amov1","breq3_amov2","breq3_amov3","breq3_amov4","breq3_intrins1","breq3_intrins2","breq3_intrins3","breq3_intrins4","breq3_intro1","breq3_intro2","breq3_intro3","breq3_intro4","breq3_integ1","breq3_integ2","breq3_integ3","breq3_integ4","breq3_ext1","breq3_ext2","breq3_ext3","breq3_ext4","VigDays","VigHours","VigMin","VigDK","ModDays","ModHours","ModMin","ModDK","WalkDays","WalkHours","WalkMin","WalkDK","SitHours","SitMin","SitDK","PA_typical","joint_study","NICE_age","NICE_pain","NICE_activity","NICE_stiffness","NICE_stiffness_min","pain_NRS","function_NRS","hipL","hipR","ankleL","ankleR","kneeL","kneeR","footL","footR","DOB","enddate","gender","height","weight","employed","income","household","state"
"9de6aece-067d-2d46-ec82-99cd07859302",NA,"2",NA,"678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","1","1",NA,"1","1",NA,"1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","1","1","1","1","1","1","1","1","6","6","6","6","1","1","1","4","6","4","1","4","0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"1","3","6","4","1","1","1","5","6","5","1",NA,"1",NA,"1",NA,"1",NA,"23/08/1963","2/10/2020 19:56","1","155","100","2","1","2","6"
"6f4b7be8-590b-861a-41a4-4c6077fa903b","2",NA,NA,"931","2",NA,"2","1","2",NA,"2",NA,"2","1","2",NA,"2",NA,"2","1","2",NA,"2",NA,"2","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","1","3","4","3","3","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","3","0",NA,NA,NA,"0",NA,NA,NA,"2","0.5","30",NA,"10",NA,NA,"1","3","4","1","1","1","5","4","5",NA,"1",NA,NA,NA,NA,NA,NA,"16/08/1961","2/10/2020 19:57","2","183","105","1","3","2","7"
"ed5d4339-7a81-af97-5775-74760fac6de5",NA,NA,"2","847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","2",NA,"1","1","1",NA,"1","1",NA,"1","2",NA,"2",NA,"1","2",NA,"1","2",NA,"1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","3","1","1","1","1","3","4","4","3","4","1","1","1","4","3","3","1","4","4","5","5","0",NA,NA,NA,"0",NA,NA,NA,"7","30",NA,NA,"8",NA,NA,"1","4","4","1","1","1","5","4","6",NA,"1",NA,NA,NA,"1",NA,"1","21/12/1971","2/10/2020 19:58","2","172","90","2","3","2","3"
"e987b23c-04c0-5f5d-8d70-85acc4cdd2f9",NA,"1",NA,"1148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1","1",NA,"2",NA,"1","2",NA,"1","2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","1","1","1","1","6","6","6","6","6","5","6","6","6","6","6","6","1","1","1","1","2","3","180",NA,"1",NA,"30",NA,"2","1","60",NA,"6","360",NA,"1","4","4","1","1","1","4","5","8",NA,NA,NA,NA,NA,"1",NA,NA,"11/8/1952","2/10/2020 19:58","1","163","61","1","3","2","7"
"6e4dbe89-85c3-3d82-47c5-8966697e504b","2",NA,NA,"857","2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1","1","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","1","1","1","1","5","6","6","6","5","5","6","6","5","6","5","6","1","1","1","1","7","2","30",NA,"7","1","30",NA,"7","3","0",NA,"5","0",NA,"1","4","4","1","4","1","4","1","2",NA,NA,NA,NA,NA,"1",NA,"1","16/07/1951","2/10/2020 19:59","1","166","59","2","6","2","6"
"2df2863c-e16a-0d63-f870-b1d986dd36fb","2",NA,NA,"825","2",NA,"1","2",NA,"1","2",NA,"1","2",NA,"1","2",NA,"1","1","1",NA,"2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","4","3","1","3","5","5","5","3","5","5","3","3","3","5","3","5","5","5","5","5","4","3","2","30",NA,"1","2","30",NA,"5","1","30",NA,"2","30",NA,"1","3","4","1","1","1","5","8","7",NA,"1",NA,NA,NA,NA,NA,NA,"22/10/1970","2/10/2020 20:00","2","190","72","1","3","2","4"
"9c2980fd-0fe6-7f18-23b1-b702fd1a1e31","2",NA,NA,"1147","2",NA,"1","1","2",NA,"1","2",NA,"1","1",NA,"2",NA,"1","2",NA,"2","1","1",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","6","5","3","1","3","1","3","4","4","5","3","3","6","4","4","1","4","5","3","4","3","3","6","1","0",NA,"0",NA,NA,NA,"6","1","0",NA,"15","0",NA,"1","4","4","1","1","1","4","3","3",NA,NA,NA,NA,NA,"1",NA,NA,"14/06/1954","2/10/2020 20:00","2","180","100","2","2","2","5"
"76ac2672-b5d2-a6ba-a63e-1187326f62b5","2",NA,NA,"878","2",NA,NA,"1","2",NA,"1","1",NA,"1","1",NA,"2",NA,"1","1","1",NA,"1","1",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5","4","4","4","4","4","5","5","5","5","4","4","4","5","5","5","5","5","4","4","4","4","2","1","0",NA,"5","2","0",NA,"5","1","0",NA,"5","0",NA,"1","2","4","1","1","1","4","6","7",NA,NA,NA,NA,"1",NA,NA,NA,"6/7/1971","2/10/2020 20:00","2","165","70","1","4","2","4"
"a7a8aab7-1dbf-22e4-a2fb-9d8378db0b64",NA,"1",NA,"856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","1","1",NA,"1","1",NA,"1","1",NA,"1","1",NA,"2",NA,"1","1","1",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","4","1","3","3","1","4","4","3","4","3","4","4","3","4","4","4","4","4","3","3","3","0",NA,NA,NA,"5","1","15",NA,"7","1","15",NA,"4","0",NA,"1","2","4","1","1","3",NA,"3","3",NA,NA,NA,NA,"1",NA,NA,NA,"09/12/1047","2/10/2020 20:01","1","145","76","2","3","2","4"
"cc62d3df-82d5-653d-6893-e449eca61413","2",NA,NA,"1089","2",NA,"1","2",NA,"1","1","1",NA,"1",NA,NA,"2",NA,"1","1","1",NA,"1","1",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5","4","3","3","3","3","4","3","3","4","4","4","4","4","5","4","4","4","4","4","4","4","0",NA,NA,NA,"0",NA,NA,NA,"4",NA,"15",NA,"4",NA,NA,"5","5","4","1","1","1","5","7","7",NA,NA,"1","1",NA,NA,"1","1","23/09/1942","2/10/2020 20:02","1","148","48","2","2","1","5"
"9e590f99-8b63-86c2-53d5-387229d64255",NA,"2",NA,"1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","2",NA,"2","1","1",NA,"1","1",NA,"1","2",NA,"1","1",NA,"2",NA,"1","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","6","6","1","1","1","1","5","6","5","5","6","5","6","6","5","5","5","5","1","1","1","1","2","1","20",NA,"2","1","0",NA,"4","1","30",NA,"25","30",NA,"1","8","4","1","1","1","4","6","6",NA,NA,"1",NA,NA,"1",NA,"1","26/03/1957","2/10/2020 20:04","2","177","105","1","4","2","6"
