"Version","Trial","Alt","Participant","Selection","Goal","Form","Magnitude","Direction"
1,"7","2","R_11gpXdnfYR7gCnV",0,"60min","Voucher","160","pos"
1,"7","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_11gpXdnfYR7gCnV",1,"90min","Donate","300","pos"
1,"8","2","R_11gpXdnfYR7gCnV",0,"30min","Voucher","160","neg"
1,"8","3","R_11gpXdnfYR7gCnV",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1C3D6dwxRAocTna",0,"90min","Donate","160","neg"
1,"1","2","R_1C3D6dwxRAocTna",1,"60min","Cash","500","pos"
1,"1","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1C3D6dwxRAocTna",1,"90min","Cash","500","neg"
1,"2","2","R_1C3D6dwxRAocTna",0,"60min","Donate","300","pos"
1,"2","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1C3D6dwxRAocTna",0,"30min","Donate","160","pos"
1,"3","2","R_1C3D6dwxRAocTna",1,"90min","Cash","300","neg"
1,"3","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1C3D6dwxRAocTna",1,"30min","Cash","500","pos"
1,"4","2","R_1C3D6dwxRAocTna",0,"60min","Donate","300","neg"
1,"4","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1C3D6dwxRAocTna",0,"90min","Voucher","160","pos"
1,"5","2","R_1C3D6dwxRAocTna",1,"30min","Cash","300","neg"
1,"5","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1C3D6dwxRAocTna",0,"30min","Cash","500","neg"
1,"6","2","R_1C3D6dwxRAocTna",0,"90min","Voucher","300","pos"
1,"7","1","R_1C3D6dwxRAocTna",0,"30min","Donate","300","neg"
1,"7","2","R_1C3D6dwxRAocTna",1,"60min","Voucher","160","pos"
1,"7","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1C3D6dwxRAocTna",0,"90min","Donate","300","pos"
1,"8","2","R_1C3D6dwxRAocTna",1,"30min","Voucher","160","neg"
1,"8","3","R_1C3D6dwxRAocTna",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1dtcYXhwX459zkb",0,"90min","Donate","160","neg"
1,"1","2","R_1dtcYXhwX459zkb",1,"60min","Cash","500","pos"
1,"1","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1dtcYXhwX459zkb",1,"90min","Cash","500","neg"
1,"2","2","R_1dtcYXhwX459zkb",0,"60min","Donate","300","pos"
1,"2","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1dtcYXhwX459zkb",0,"30min","Donate","160","pos"
1,"3","2","R_1dtcYXhwX459zkb",1,"90min","Cash","300","neg"
1,"3","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1dtcYXhwX459zkb",1,"30min","Cash","500","pos"
1,"4","2","R_1dtcYXhwX459zkb",0,"60min","Donate","300","neg"
1,"4","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1dtcYXhwX459zkb",0,"90min","Voucher","160","pos"
1,"5","2","R_1dtcYXhwX459zkb",1,"30min","Cash","300","neg"
1,"5","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1dtcYXhwX459zkb",1,"30min","Cash","500","neg"
1,"6","2","R_1dtcYXhwX459zkb",0,"90min","Voucher","300","pos"
1,"6","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1dtcYXhwX459zkb",0,"30min","Donate","300","neg"
1,"7","2","R_1dtcYXhwX459zkb",1,"60min","Voucher","160","pos"
1,"7","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1dtcYXhwX459zkb",0,"90min","Donate","300","pos"
1,"8","2","R_1dtcYXhwX459zkb",1,"30min","Voucher","160","neg"
1,"8","3","R_1dtcYXhwX459zkb",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1ewzXXpKiOxCJ2t",0,"90min","Donate","160","neg"
1,"1","2","R_1ewzXXpKiOxCJ2t",1,"60min","Cash","500","pos"
1,"1","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1ewzXXpKiOxCJ2t",1,"90min","Cash","500","neg"
1,"2","2","R_1ewzXXpKiOxCJ2t",0,"60min","Donate","300","pos"
1,"2","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1ewzXXpKiOxCJ2t",0,"30min","Donate","160","pos"
1,"3","2","R_1ewzXXpKiOxCJ2t",1,"90min","Cash","300","neg"
1,"3","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1ewzXXpKiOxCJ2t",1,"30min","Cash","500","pos"
1,"4","2","R_1ewzXXpKiOxCJ2t",0,"60min","Donate","300","neg"
1,"4","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1ewzXXpKiOxCJ2t",0,"90min","Voucher","160","pos"
1,"5","2","R_1ewzXXpKiOxCJ2t",1,"30min","Cash","300","neg"
1,"5","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1ewzXXpKiOxCJ2t",1,"30min","Cash","500","neg"
1,"6","2","R_1ewzXXpKiOxCJ2t",0,"90min","Voucher","300","pos"
1,"6","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1ewzXXpKiOxCJ2t",1,"30min","Donate","300","neg"
1,"7","2","R_1ewzXXpKiOxCJ2t",0,"60min","Voucher","160","pos"
1,"7","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1ewzXXpKiOxCJ2t",0,"90min","Donate","300","pos"
1,"8","2","R_1ewzXXpKiOxCJ2t",1,"30min","Voucher","160","neg"
1,"8","3","R_1ewzXXpKiOxCJ2t",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1Fbyecqy5v5fDMO",0,"90min","Donate","160","neg"
1,"1","2","R_1Fbyecqy5v5fDMO",1,"60min","Cash","500","pos"
1,"1","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1Fbyecqy5v5fDMO",1,"90min","Cash","500","neg"
1,"2","2","R_1Fbyecqy5v5fDMO",0,"60min","Donate","300","pos"
1,"2","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1Fbyecqy5v5fDMO",0,"30min","Donate","160","pos"
1,"3","2","R_1Fbyecqy5v5fDMO",1,"90min","Cash","300","neg"
1,"3","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1Fbyecqy5v5fDMO",1,"30min","Cash","500","pos"
1,"4","2","R_1Fbyecqy5v5fDMO",0,"60min","Donate","300","neg"
1,"4","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1Fbyecqy5v5fDMO",0,"90min","Voucher","160","pos"
1,"5","2","R_1Fbyecqy5v5fDMO",1,"30min","Cash","300","neg"
1,"5","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1Fbyecqy5v5fDMO",1,"30min","Cash","500","neg"
1,"6","2","R_1Fbyecqy5v5fDMO",0,"90min","Voucher","300","pos"
1,"6","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1Fbyecqy5v5fDMO",0,"30min","Donate","300","neg"
1,"7","2","R_1Fbyecqy5v5fDMO",1,"60min","Voucher","160","pos"
1,"7","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1Fbyecqy5v5fDMO",0,"90min","Donate","300","pos"
1,"8","2","R_1Fbyecqy5v5fDMO",1,"30min","Voucher","160","neg"
1,"8","3","R_1Fbyecqy5v5fDMO",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1FFD6W1c0XWEa8r",0,"90min","Donate","160","neg"
1,"1","2","R_1FFD6W1c0XWEa8r",1,"60min","Cash","500","pos"
1,"1","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1FFD6W1c0XWEa8r",0,"90min","Cash","500","neg"
1,"2","2","R_1FFD6W1c0XWEa8r",1,"60min","Donate","300","pos"
1,"2","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1FFD6W1c0XWEa8r",0,"30min","Donate","160","pos"
1,"3","2","R_1FFD6W1c0XWEa8r",1,"90min","Cash","300","neg"
1,"3","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1FFD6W1c0XWEa8r",1,"30min","Cash","500","pos"
1,"4","2","R_1FFD6W1c0XWEa8r",0,"60min","Donate","300","neg"
1,"4","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1FFD6W1c0XWEa8r",0,"90min","Voucher","160","pos"
1,"5","2","R_1FFD6W1c0XWEa8r",1,"30min","Cash","300","neg"
1,"5","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1FFD6W1c0XWEa8r",1,"30min","Cash","500","neg"
1,"6","2","R_1FFD6W1c0XWEa8r",0,"90min","Voucher","300","pos"
1,"6","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1FFD6W1c0XWEa8r",0,"30min","Donate","300","neg"
1,"7","2","R_1FFD6W1c0XWEa8r",1,"60min","Voucher","160","pos"
1,"7","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1FFD6W1c0XWEa8r",0,"90min","Donate","300","pos"
1,"8","2","R_1FFD6W1c0XWEa8r",1,"30min","Voucher","160","neg"
1,"8","3","R_1FFD6W1c0XWEa8r",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1Ffw0zPPUSCmIIF",0,"90min","Donate","160","neg"
1,"1","2","R_1Ffw0zPPUSCmIIF",1,"60min","Cash","500","pos"
1,"1","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1Ffw0zPPUSCmIIF",0,"90min","Cash","500","neg"
1,"2","2","R_1Ffw0zPPUSCmIIF",1,"60min","Donate","300","pos"
1,"2","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1Ffw0zPPUSCmIIF",1,"30min","Donate","160","pos"
1,"3","2","R_1Ffw0zPPUSCmIIF",0,"90min","Cash","300","neg"
1,"3","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1Ffw0zPPUSCmIIF",1,"30min","Cash","500","pos"
1,"4","2","R_1Ffw0zPPUSCmIIF",0,"60min","Donate","300","neg"
1,"4","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1Ffw0zPPUSCmIIF",0,"90min","Voucher","160","pos"
1,"5","2","R_1Ffw0zPPUSCmIIF",1,"30min","Cash","300","neg"
1,"5","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1Ffw0zPPUSCmIIF",1,"30min","Cash","500","neg"
1,"6","2","R_1Ffw0zPPUSCmIIF",0,"90min","Voucher","300","pos"
1,"6","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1Ffw0zPPUSCmIIF",1,"30min","Donate","300","neg"
1,"7","2","R_1Ffw0zPPUSCmIIF",0,"60min","Voucher","160","pos"
1,"7","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1Ffw0zPPUSCmIIF",0,"90min","Donate","300","pos"
1,"8","2","R_1Ffw0zPPUSCmIIF",1,"30min","Voucher","160","neg"
1,"8","3","R_1Ffw0zPPUSCmIIF",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1g6JX56WsWHn0kD",0,"90min","Donate","160","neg"
1,"1","2","R_1g6JX56WsWHn0kD",1,"60min","Cash","500","pos"
1,"1","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1g6JX56WsWHn0kD",1,"90min","Cash","500","neg"
1,"2","2","R_1g6JX56WsWHn0kD",0,"60min","Donate","300","pos"
1,"2","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1g6JX56WsWHn0kD",0,"30min","Donate","160","pos"
1,"3","2","R_1g6JX56WsWHn0kD",1,"90min","Cash","300","neg"
1,"3","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1g6JX56WsWHn0kD",1,"30min","Cash","500","pos"
1,"4","2","R_1g6JX56WsWHn0kD",0,"60min","Donate","300","neg"
1,"4","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1g6JX56WsWHn0kD",0,"90min","Voucher","160","pos"
1,"5","2","R_1g6JX56WsWHn0kD",1,"30min","Cash","300","neg"
1,"5","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1g6JX56WsWHn0kD",1,"30min","Cash","500","neg"
1,"6","2","R_1g6JX56WsWHn0kD",0,"90min","Voucher","300","pos"
1,"6","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1g6JX56WsWHn0kD",1,"30min","Donate","300","neg"
1,"7","2","R_1g6JX56WsWHn0kD",0,"60min","Voucher","160","pos"
1,"7","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1g6JX56WsWHn0kD",0,"90min","Donate","300","pos"
1,"8","2","R_1g6JX56WsWHn0kD",1,"30min","Voucher","160","neg"
1,"8","3","R_1g6JX56WsWHn0kD",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1HcPKcD1bZhwFkE",0,"90min","Donate","160","neg"
1,"1","2","R_1HcPKcD1bZhwFkE",1,"60min","Cash","500","pos"
1,"1","3","R_1HcPKcD1bZhwFkE",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1HcPKcD1bZhwFkE",0,"90min","Cash","500","neg"
1,"2","2","R_1HcPKcD1bZhwFkE",0,"60min","Donate","300","pos"
1,"2","3","R_1HcPKcD1bZhwFkE",1,"SQ","SQ","SQ","SQ"
1,"3","1","R_1HcPKcD1bZhwFkE",0,"30min","Donate","160","pos"
1,"3","2","R_1HcPKcD1bZhwFkE",0,"90min","Cash","300","neg"
1,"3","3","R_1HcPKcD1bZhwFkE",1,"SQ","SQ","SQ","SQ"
1,"4","1","R_1HcPKcD1bZhwFkE",0,"30min","Cash","500","pos"
1,"4","2","R_1HcPKcD1bZhwFkE",0,"60min","Donate","300","neg"
1,"4","3","R_1HcPKcD1bZhwFkE",1,"SQ","SQ","SQ","SQ"
1,"5","1","R_1HcPKcD1bZhwFkE",0,"90min","Voucher","160","pos"
1,"5","2","R_1HcPKcD1bZhwFkE",0,"30min","Cash","300","neg"
1,"5","3","R_1HcPKcD1bZhwFkE",1,"SQ","SQ","SQ","SQ"
1,"6","1","R_1HcPKcD1bZhwFkE",0,"30min","Cash","500","neg"
1,"6","2","R_1HcPKcD1bZhwFkE",1,"90min","Voucher","300","pos"
1,"6","3","R_1HcPKcD1bZhwFkE",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1HcPKcD1bZhwFkE",0,"30min","Donate","300","neg"
1,"7","2","R_1HcPKcD1bZhwFkE",0,"60min","Voucher","160","pos"
1,"7","3","R_1HcPKcD1bZhwFkE",1,"SQ","SQ","SQ","SQ"
1,"8","1","R_1HcPKcD1bZhwFkE",0,"90min","Donate","300","pos"
1,"8","2","R_1HcPKcD1bZhwFkE",0,"30min","Voucher","160","neg"
1,"8","3","R_1HcPKcD1bZhwFkE",1,"SQ","SQ","SQ","SQ"
1,"1","1","R_1hGaCJV3y4aBSAT",0,"90min","Donate","160","neg"
1,"1","2","R_1hGaCJV3y4aBSAT",1,"60min","Cash","500","pos"
1,"1","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1hGaCJV3y4aBSAT",0,"90min","Cash","500","neg"
1,"2","2","R_1hGaCJV3y4aBSAT",1,"60min","Donate","300","pos"
1,"2","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1hGaCJV3y4aBSAT",1,"30min","Donate","160","pos"
1,"3","2","R_1hGaCJV3y4aBSAT",0,"90min","Cash","300","neg"
1,"3","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1hGaCJV3y4aBSAT",1,"30min","Cash","500","pos"
1,"4","2","R_1hGaCJV3y4aBSAT",0,"60min","Donate","300","neg"
1,"4","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1hGaCJV3y4aBSAT",0,"90min","Voucher","160","pos"
1,"5","2","R_1hGaCJV3y4aBSAT",1,"30min","Cash","300","neg"
1,"5","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1hGaCJV3y4aBSAT",1,"30min","Cash","500","neg"
1,"6","2","R_1hGaCJV3y4aBSAT",0,"90min","Voucher","300","pos"
1,"6","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1hGaCJV3y4aBSAT",1,"30min","Donate","300","neg"
1,"7","2","R_1hGaCJV3y4aBSAT",0,"60min","Voucher","160","pos"
1,"7","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1hGaCJV3y4aBSAT",0,"90min","Donate","300","pos"
1,"8","2","R_1hGaCJV3y4aBSAT",1,"30min","Voucher","160","neg"
1,"8","3","R_1hGaCJV3y4aBSAT",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1I5htlm3VHQPJir",0,"90min","Donate","160","neg"
1,"1","2","R_1I5htlm3VHQPJir",1,"60min","Cash","500","pos"
1,"1","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1I5htlm3VHQPJir",1,"90min","Cash","500","neg"
1,"2","2","R_1I5htlm3VHQPJir",0,"60min","Donate","300","pos"
1,"2","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1I5htlm3VHQPJir",0,"30min","Donate","160","pos"
1,"3","2","R_1I5htlm3VHQPJir",1,"90min","Cash","300","neg"
1,"3","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"4","1","R_1I5htlm3VHQPJir",1,"30min","Cash","500","pos"
1,"4","2","R_1I5htlm3VHQPJir",0,"60min","Donate","300","neg"
1,"4","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1I5htlm3VHQPJir",1,"90min","Voucher","160","pos"
1,"5","2","R_1I5htlm3VHQPJir",0,"30min","Cash","300","neg"
1,"5","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1I5htlm3VHQPJir",1,"30min","Cash","500","neg"
1,"6","2","R_1I5htlm3VHQPJir",0,"90min","Voucher","300","pos"
1,"6","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1I5htlm3VHQPJir",0,"30min","Donate","300","neg"
1,"7","2","R_1I5htlm3VHQPJir",1,"60min","Voucher","160","pos"
1,"7","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1I5htlm3VHQPJir",0,"90min","Donate","300","pos"
1,"8","2","R_1I5htlm3VHQPJir",1,"30min","Voucher","160","neg"
1,"8","3","R_1I5htlm3VHQPJir",0,"SQ","SQ","SQ","SQ"
1,"1","1","R_1ItqmIOGvfXAJrh",0,"90min","Donate","160","neg"
1,"1","2","R_1ItqmIOGvfXAJrh",1,"60min","Cash","500","pos"
1,"1","3","R_1ItqmIOGvfXAJrh",0,"SQ","SQ","SQ","SQ"
1,"2","1","R_1ItqmIOGvfXAJrh",1,"90min","Cash","500","neg"
1,"2","2","R_1ItqmIOGvfXAJrh",0,"60min","Donate","300","pos"
1,"2","3","R_1ItqmIOGvfXAJrh",0,"SQ","SQ","SQ","SQ"
1,"3","1","R_1ItqmIOGvfXAJrh",0,"30min","Donate","160","pos"
1,"3","2","R_1ItqmIOGvfXAJrh",0,"90min","Cash","300","neg"
1,"3","3","R_1ItqmIOGvfXAJrh",1,"SQ","SQ","SQ","SQ"
1,"4","1","R_1ItqmIOGvfXAJrh",1,"30min","Cash","500","pos"
1,"4","2","R_1ItqmIOGvfXAJrh",0,"60min","Donate","300","neg"
1,"4","3","R_1ItqmIOGvfXAJrh",0,"SQ","SQ","SQ","SQ"
1,"5","1","R_1ItqmIOGvfXAJrh",0,"90min","Voucher","160","pos"
1,"5","2","R_1ItqmIOGvfXAJrh",1,"30min","Cash","300","neg"
1,"5","3","R_1ItqmIOGvfXAJrh",0,"SQ","SQ","SQ","SQ"
1,"6","1","R_1ItqmIOGvfXAJrh",1,"30min","Cash","500","neg"
1,"6","2","R_1ItqmIOGvfXAJrh",0,"90min","Voucher","300","pos"
1,"6","3","R_1ItqmIOGvfXAJrh",0,"SQ","SQ","SQ","SQ"
1,"7","1","R_1ItqmIOGvfXAJrh",0,"30min","Donate","300","neg"
1,"7","2","R_1ItqmIOGvfXAJrh",1,"60min","Voucher","160","pos"
1,"7","3","R_1ItqmIOGvfXAJrh",0,"SQ","SQ","SQ","SQ"
1,"8","1","R_1ItqmIOGvfXAJrh",0,"90min","Donate","300","pos"
